Coin ,Founder,Category,VC (Private Investors or Supporters),Team Transparency,Twitter,Telegram,Discord,Github,Following Roadmap
Dot,"Gavin James Wood
 (Web3 Foundation)",Blockchain,Master ventures,Yes,High,High,High,Active,Yes
ETH,Vitalik Buterin,Blockchain,The Enterprise Ethereum Alliance (EEA),Yes,High,High,High,Active,Yes
BNB,CZ,Exchange ,"Vertex Ventures, Blackhole capital, Funcity Capital",Yes,High,High,High,Active,Yes
Terra (LUNA),Daniel Shin,Blockchain,"Binance, Huobi Capital, Okex, Polychain Capital",Yes,High,High,High,Active,Yes
AVA,"Emin Gün Sirer 
(AVA Labs)",Blockchain,"Polychain, Three Arrows, R/Crypto Fund, 
Dragonfly, CMS Holdings, Collab+Currency, 
Lvna Capital",Yes,High,High,High,Active,Yes
Doge," Billy Markus from Portland, 
Oregon and  Jackson Palmer
 from Sydney, Australia",Meme (Community),Elon Musk,Yes,High,High,High,Active,Yes
Polygon ,"Jaynti Kanani, Anurag Arjun,
 Sandeep Nailwal",Blockchain,"Anthemis Group.
Cultivation Capital.
IA Capital Group.
Protect America.
Fenway Summer Ventures.
Nationwide.
Clocktower Technology Ventures.
ManchesterStory Group",Yes,High,High,High,Active,Yes
Near ,"Microsoft employee Alexander
 Skidanov and a developer
 Ilya Polosukhin",Blockchain,"Coinlist, Coinbase , PANTERA",Yes,High,High,No,Active,Yes
FTX,SBF,Exchange ,FTX Ventures,Yes,High,High,High,Active,Yes
UNI,Hayden Adams,DEX,"Andreessen Horowitz, Paradigm Venture Capital,
 Union Square Ventures LLC and ParaFi",Yes,High,High,High,Active,Yes
Axie AXS,Trung Thnh Nguyen,P2E,"UBISOFT, Kyber network, MAKER, SAMSUNG, 
htc, Binance",Yes,High,High,High,Active,Yes
ICP,"Dominic Williams
",Cloud Storage,"Andreessen Horowitz, 9Yards Capital, Polychain, 
Scalar Capital, KR1, SV Angel, Amino Capital, 
Eterna Capital, Aspect Ventures, and Village Global.",Yes,High,High,No,Active,Yes
Elrond,Beniamin Mincu,Blockchain,"Binance, Maven 11 capital, Mapleblock, NGC, AU21",Yes,High,High,High,Active,Yes
Sandbox,"Sebastien Borget
","P2E, Metaverse","Animoca Brands, Brinc",Yes,High,High,High,Active,Yes
Fantom,Michael Kong,Blockchain,"BlockTower Capital, Signum, Bibox JRR,Nirvana",Yes,High,High,High,Active,Yes
Theta,Mitch Liu,Blockchain,"DHVC, Sierra , ZP capital, Samsung, aelf",Yes,High,High,High,Active,Yes
Klayton,,Blockchain,"SmartToken labs, Animal concerts, F10",Yes,High,High,High,Active,Yes
Thorchain,,Blockchain,,Yes,High,High,High,Active,No
The Graph,,Protocol,"Coinbase, Stakefish, JD capital",No,High,High,High,Active,No
Flow,,Blockchain,"Binance, stakefish,coinlist,animoca,ubisoft,
samsung",No,High,High,High,Active,No
Aave,,Finance,,Yes,High,High,High,Active,No
Pancakeswap,,DEX,Binance,No,High,High,High,Active,No
