Coin ,Founder,Category,VC (Private Investors or Supporters),Team Transparency,Twitter,Telegram,Discord,Github,Following Roadmap,Volume
Dot,"Gavin James Wood
 (Web3 Foundation)",Blockchain,Master ventures,Yes,High,High,High,Active,Yes,"7,612,855,727"
ETH,Vitalik Buterin,Blockchain,The Enterprise Ethereum Alliance (EEA),Yes,High,High,High,Active,Yes,"171,316,494,556	"
BNB,CZ,Exchange ,Vertex Ventures Blackhole capital Funcity Capital,Yes,High,High,High,Active,Yes,"39,874,609,590"
Terra (LUNA),Daniel Shin,Blockchain,Binance Huobi Capital Okex Polychain Capital,Yes,High,High,High,Active,Yes,"225,690,899"
AVA,"Emin Gün Sirer 
(AVA Labs)",Blockchain,"Polychain Three Arrows R/Crypto Fund 
Dragonfly CMS Holdings Collab+Currency 
Lvna Capital",Yes,High,High,High,Active,Yes,"5,892,669,400"
Doge," Billy Markus from Portland 
Oregon and  Jackson Palmer
 from Sydney Australia",Meme (Community),Elon Musk,Yes,High,High,High,Active,Yes,"8,232,745,062"
Polygon ,"Jaynti Kanani Anurag Arjun
 Sandeep Nailwal",Blockchain,"Anthemis Group.
Cultivation Capital.
IA Capital Group.
Protect America.
Fenway Summer Ventures.
Nationwide.
Clocktower Technology Ventures.
ManchesterStory Group",Yes,High,High,High,Active,Yes,"6,167,778,052"
Near ,"Microsoft employee Alexander
 Skidanov and a developer
 Ilya Polosukhin",Blockchain,Coinlist Coinbase  PANTERA,Yes,High,High,No,Active,Yes,"2,788,511,612"
FTX,SBF,Exchange ,FTX Ventures,Yes,High,High,High,Active,Yes,"3,617,968,544"
UNI,Hayden Adams,DEX,"Andreessen Horowitz Paradigm Venture Capital
 Union Square Ventures LLC and ParaFi",Yes,High,High,High,Active,Yes,"3,162,990,002"
Axie AXS,Trung Thnh Nguyen,P2E,"UBISOFT Kyber network MAKER SAMSUNG 
htc Binance",Yes,High,High,High,Active,Yes,"1,330,027,792"
ICP,"Dominic Williams
",Cloud Storage,"Andreessen Horowitz 9Yards Capital Polychain 
Scalar Capital KR1 SV Angel Amino Capital 
Eterna Capital Aspect Ventures and Village Global.",Yes,High,High,No,Active,Yes,"1,552,734,227"
Elrond,Beniamin Mincu,Blockchain,Binance Maven 11 capital Mapleblock NGC AU21,Yes,High,High,High,Active,Yes,"1,135,973,853"
Sandbox,"Sebastien Borget
",P2E Metaverse,Animoca Brands Brinc,Yes,High,High,High,Active,Yes,"1,533,577,086"
Fantom,Michael Kong,Blockchain,BlockTower Capital Signum Bibox JRRNirvana,Yes,High,High,High,Active,Yes,"769,147,163"
Theta,Mitch Liu,Blockchain,DHVC Sierra  ZP capital Samsung aelf,Yes,High,High,High,Active,Yes,"1,174,201,341"
Klayton,Mitch Liu,Blockchain,SmartToken labs Animal concerts F10,Yes,High,High,High,Active,Yes,"725,835,050"
Thorchain,Dominic Williams,Blockchain,Animica,Yes,High,High,High,Active,No,"709,378,404"
The Graph,Sebastien,Protocol,Coinbase Stakefish JD capital,No,High,High,High,Active,No,"717,734,267"
Flow,Dominic Williams,Blockchain,"Binance stakefishcoinlistanimocaubisoft
samsung",No,High,High,High,Active,No,"1,678,969,839"
Aave,CZ,Finance,Binance,Yes,High,High,High,Active,No,"1,145,228,310"
Pancakeswap,Hayden Adams,DEX,Binance,No,High,High,High,Active,No,"468,216,557"
